"Datum";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Stampfenbachstrasse";" Zürich Schimmelstrasse";" Zürich Schimmelstrasse";" Zürich Schimmelstrasse";" Zürich Schimmelstrasse";" Zürich Schimmelstrasse";" Zürich Schimmelstrasse";" Zürich Schimmelstrasse";" Zürich Heubeeribüel";" Zürich Heubeeribüel";" Zürich Heubeeribüel";" Zürich Heubeeribüel";" Zürich Rosengartenstrasse";" Zürich Rosengartenstrasse";" Zürich Rosengartenstrasse";" Zürich Rosengartenstrasse";" Zürich Rosengartenstrasse"
;" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Stampfenbachstrasse";" Zch_Schimmelstrasse";" Zch_Schimmelstrasse";" Zch_Schimmelstrasse";" Zch_Schimmelstrasse";" Zch_Schimmelstrasse";" Zch_Schimmelstrasse";" Zch_Schimmelstrasse";" Zch_Heubeeribüel";" Zch_Heubeeribüel";" Zch_Heubeeribüel";" Zch_Heubeeribüel";" Zch_Rosengartenstrasse";" Zch_Rosengartenstrasse";" Zch_Rosengartenstrasse";" Zch_Rosengartenstrasse";" Zch_Rosengartenstrasse"
;" Schwefeldioxid";" Kohlenmonoxid";" Ozon, höchstes Stundenmittel";" Ozon, Anzahl Stundenmittel > 120 µg/m3";" Stickstoffdioxid";" Stickstoffmonoxid";" Feinstaub PM10";" Lufttemperatur";" Luftfeuchte relativ";" Luftdruck";" Windgeschwindigkeit skalar";" Globalstrahlung";" Regendauer";" Schwefeldioxid";" Kohlenmonoxid";" Ozon, höchstes Stundenmittel";" Ozon, Anzahl Stundenmittel > 120 µg/m3";" Stickstoffdioxid";" Stickstoffmonoxid";" Feinstaub PM10";" Ozon, höchstes Stundenmittel";" Ozon, Anzahl Stundenmittel > 120 µg/m3";" Stickstoffdioxid";" Stickstoffmonoxid";" Ozon, höchstes Stundenmittel";" Ozon, Anzahl Stundenmittel > 120 µg/m3";" Stickstoffdioxid";" Stickstoffmonoxid";" Feinstaub PM10"
;" SO2";" CO";" O3_max_h1";" O3_nb_h1>120";" NO2";" NO";" PM10";" T";" Hr";" p";" WVs";" StrGlo";" RainDur";" SO2";" CO";" O3_max_h1";" O3_nb_h1>120";" NO2";" NO";" PM10";" O3_max_h1";" O3_nb_h1>120";" NO2";" NO";" O3_max_h1";" O3_nb_h1>120";" NO2";" NO";" PM10"
;" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1";" d1"
;" µg/m3";" mg/m3";" µg/m3";"1";" µg/m3";" µg/m3";" µg/m3";" °C";" %Hr";" hPa";" m/s";" W/m2";" min";" µg/m3";" mg/m3";" µg/m3";"1";" µg/m3";" µg/m3";" µg/m3";" µg/m3";"1";" µg/m3";" µg/m3";" µg/m3";"1";" ppb";" µg/m3";" µg/m3"
"01.05.2014";1.74;0.25;72.51;0;14.69;3.81;6.69;12.09;80.98;961.89;1.46;145.6;465.03;0.58;0.27;69.58;0;24.45;8.03;7.94;71.99;0;8.98;1.45;62.46;0;31.51;16.46;8.25
"02.05.2014";1.74;0.33;70.99;0;32.64;12.43;7.29;11.27;86.99;961.72;1.24;83.88;662.3;0.57;0.34;64.05;0;43.7;20.01;9.57;70.64;0;16.93;2.4;57.71;0;57.94;55.13;11.46
"03.05.2014";1.8;0.33;55.16;0;23.56;10.48;11.2;8.33;84.37;967.86;1.95;46.45;388.83;0.41;0.29;54.85;0;27.69;13.71;10.08;60.84;0;9.57;1.14;52.45;0;27.32;18.14;12.61
"04.05.2014";2.27;0.28;96.16;0;15.01;5.31;14;9.56;58.99;969.35;2.39;223.89;0;0.8;0.27;98.9;0;21.5;7.1;14.22;98.75;0;6.94;0.94;96.5;0;20.37;6.72;15.65
"05.05.2014";2.86;0.38;104.86;0;41.07;18.64;17.28;12.95;54.78;965.99;1.1;310.2;0;2.11;0.42;98.57;0;57.83;36.97;21.05;105.06;0;18.58;5.15;75.28;0;65.02;50.63;17.27
"06.05.2014";2.16;0.33;105.92;0;35.25;16.88;18.37;15.73;54.87;964.9;2.28;178.63;212.63;1.83;0.31;111.91;0;37.3;17.31;13.86;112.12;0;10.87;1.7;96.74;0;59.87;49.11;21.77
"07.05.2014";1.41;0.26;101.44;0;21.23;6.75;11.12;13.44;75.7;965.92;2.34;130.97;642.88;0.7;0.29;102.65;0;35.47;20.3;11.22;99.09;0;12;1.93;91.75;0;52.69;39.15;12.73
"08.05.2014";1.53;0.25;89.42;0;19.1;6.38;9.23;15.55;59.69;967.19;2.15;255.3;68;0.58;0.28;87.25;0;32.31;16.77;13.85;89.57;0;10.02;2.2;70;0;49.12;41.36;13.73
"09.05.2014";1.4;0.23;84.2;0;13.05;4.33;7.88;16.26;68.26;967.5;2.83;189.12;354.6;0.21;0.27;85;0;26.77;20.88;5.31;82.01;0;8.78;2.32;70.26;0;41.14;33.89;11.28
"10.05.2014";1.6;0.23;97.14;0;11.85;3.31;9.53;17.91;53.53;964.91;2.47;249.18;24.28;0.75;0.25;94.34;0;27.89;13.01;10.32;94.18;0;6.03;1.3;86.87;0;35.16;25.19;12.32
"11.05.2014";1.34;0.19;95.2;0;5.27;1.35;7.49;12.73;65.16;962.04;3.67;209.86;339.47;0.4;0.18;92.74;0;12.45;4.67;6.47;89.19;0;4.02;1;90.71;0;19.54;9.49;9.19
"12.05.2014";1.42;0.2;81.11;0;10.04;2.72;7.13;10.54;61.29;965.14;3.04;183.98;133.02;0.75;0.22;82.51;0;20.39;10.92;6.24;75.45;0;7.46;1.64;74.44;0;35.89;30.22;7.99
"13.05.2014";1.55;0.24;82.06;0;19.3;7.18;7.36;9.03;75.57;967.59;1.94;142.39;490.56;0.63;0.24;84.53;0;27.12;14.73;4.96;78.1;0;11.78;2.23;67.07;0;52.29;53.19;9.73
"14.05.2014";1.7;0.26;71.57;0;23.79;9.96;8.79;8.9;78.76;975.71;1.89;137.47;526.85;0.68;0.3;78.86;0;38.63;26.19;10.8;72.11;0;13.56;2.35;61.83;0;52.07;58.3;10.58
"15.05.2014";1.96;0.3;75.39;0;34.04;17.69;9.56;9.12;72.46;977.9;1.16;140.49;322.27;0.89;0.31;72.86;0;44.71;24.15;13.41;86.18;0;10.92;1.58;76.08;0;47.58;40.21;12.01
"16.05.2014";2.12;0.29;79.89;0;27.4;13.33;9.99;" NaN";" NaN";974.33;1.92;206.98;35.2;0.78;0.28;85.3;0;35.58;20.83;11.67;89.25;0;10.16;1.6;84.1;0;34.19;27.6;13.07
"17.05.2014";2.6;0.31;98.44;0;21.2;6.33;11.49;14;52.02;968.83;2.52;284.98;0;1.12;0.29;100.85;0;31.66;12.11;11.46;100.77;0;6.45;1.06;100.91;0;25.04;8.32;12.79
"18.05.2014";2.61;0.34;119.77;0;27.84;5.56;13.52;15.61;51.94;963.07;1.21;337.47;0;1.67;0.35;114.37;0;38.75;9.19;15.43;119.43;0;8.4;1.36;105.6;0;45.97;15.55;" NaN"
"19.05.2014";2.27;0.35;115.14;0;36.71;18.39;14.46;18.64;44.03;959.49;1.96;305.06;39.83;1.35;0.36;115.81;0;50.33;28.72;16.52;123.47;4;6.92;1.27;92.19;0;71.48;43.03;" NaN"
"20.05.2014";2.28;0.38;105.89;0;47.54;16.65;17.19;19.49;40.75;962.54;0.9;284.67;0;1.47;0.38;126.76;1;58.14;22.97;16.17;126.88;4;10.21;1.84;93.54;0;80.27;54.25;18.53
"21.05.2014";2.12;0.35;87.42;0;41.19;15.64;23.42;21.11;43.3;961.72;1.39;319.45;0;1.14;0.35;112.33;0;54;25.93;22.93;122.31;2;8.7;2.29;97.39;0;70.02;52.57;25.68
"22.05.2014";1.8;0.27;81.15;0;27.91;7.89;35.03;20.26;50.96;959.7;2.04;220.9;67.95;0.91;0.34;100.97;0;49.14;26.26;34.27;115.7;0;10.97;1.84;86.75;0;56.73;33.43;36.48
"23.05.2014";1.53;0.27;97.68;0;25.15;8.5;8.87;15.66;64.63;961.58;1.8;286.17;511.45;0.48;0.27;94.47;0;37.69;13.38;9.52;110.89;0;6.84;1.28;99.84;0;53.14;40.12;" NaN"
"24.05.2014";1.68;0.29;104.56;0;15.07;3.75;7.24;16.03;54.82;965.96;1.47;258.84;42.38;0.75;0.28;99.22;0;29.2;10.86;8.1;104.84;0;7.73;1.05;86.93;0;41.71;19.33;9.96
"25.05.2014";2.01;0.31;109.83;0;17.08;4.63;9.37;18.4;54.06;966.55;1.8;289.15;0;0.98;0.27;111.12;0;24.28;6.77;14.14;111.28;0;7.28;1.13;109.82;0;23.86;7.37;11.51
"26.05.2014";1.79;0.25;100.8;0;17.33;3.63;9.32;16.91;62.8;964.13;1.73;191.2;40.08;0.81;0.31;94.16;0;41.5;21.97;13.65;97.79;0;12.44;1.98;96.22;0;47.69;28.02;13.58
"27.05.2014";1.56;0.25;73.05;0;16.34;3.62;10.52;14.13;74.27;963.29;2.42;78.7;150.14;0.58;0.22;74.52;0;18.33;5.87;8.63;70.71;0;12.39;1.63;55.88;0;47.17;40.21;12.5
"28.05.2014";1.81;0.27;88.94;0;21.63;7.43;10.97;15.49;60.05;963.03;1.29;200.63;0;0.82;0.33;78.58;0;39.95;26.79;11.59;85.82;0;10.84;2.11;62.56;0;48.92;37.84;13.2
"29.05.2014";2.02;0.25;102.12;0;15.49;3.78;8.97;16.41;56.08;964.28;1.23;246.45;0.27;1.04;0.26;97.48;0;27.06;8.13;10.12;100.19;0;7.57;1.25;86.93;0;29.23;11.74;11.68
"30.05.2014";1.72;0.29;84.53;0;22.65;11.12;8.36;13.52;77.71;967.95;1.25;77.58;180.8;0.44;0.34;66.96;0;38.68;25.64;11.39;81.1;0;10.59;1.57;79.21;0;36.55;28.8;11.78
"31.05.2014";2.06;0.29;99.03;0;16.49;5.84;11.68;13.73;57.14;969;1.76;306.58;0.83;0.94;0.3;94.13;0;32.1;15.65;13.15;99.98;0;7.09;1.32;91.53;0;32.13;21.57;13.3
"01.06.2014";2.58;0.33;109.09;0;24.69;5.13;12.65;16.41;50.6;968.24;1.19;298.9;60.2;1.51;0.33;106.8;0;36.11;9.78;13.66;108;0;9.64;1.64;99.98;0;38.98;19.22;15.06
"02.06.2014";2.33;0.29;107.55;0;28.25;10.38;15.44;16.63;59.62;967.06;1.58;254.29;81.77;1.14;0.31;99;0;42.01;20.09;13.64;113.74;0;12.55;2.18;96.64;0;51.59;46.09;19.4
"03.06.2014";1.99;0.29;117.87;0;27.91;9.58;15.21;17.01;60.11;964.82;1.58;262.18;0;0.72;0.3;108.7;0;42.32;20.65;15.85;123.4;3;10.32;1.64;107.91;0;54.5;38.82;21.94
"04.06.2014";1.78;0.27;86.68;0;23.13;6.86;15.37;15.52;72.05;960.95;1.77;147.76;232.95;0.68;0.26;87.04;0;30.25;12.97;13.9;86.85;0;14.63;2.55;81.87;0;52.97;47.32;17.89
"05.06.2014";1.78;0.26;87.8;0;21.02;8.72;10.17;16.14;56.59;965.28;1.11;259.99;36.88;0.76;0.29;77.55;0;39.12;17.54;10.35;93.46;0;7.51;1.5;82.62;0;51.4;48.16;15.36
"06.06.2014";2.43;0.37;100.97;0;44.32;19.01;16.98;20.07;53.07;966.27;1.13;330.02;0;1.39;0.41;106.25;0;58.07;33;17.83;115.19;0;14.96;4.42;113.72;0;56.01;35.45;18.21
"07.06.2014";2.12;0.4;127;3;33.24;6.49;25;23.82;49.07;966.99;0.94;328.13;0;1.04;0.36;115.76;0;39.26;7.34;22.65;125.98;3;8.93;1.25;117.27;0;64.14;32.91;25.53
"08.06.2014";2.21;0.39;136.36;5;28.29;5.34;33.76;25.71;46.51;968.72;0.8;335.49;0;1.08;0.36;125.42;3;36.52;5.95;32.56;134.16;6;7.64;1.28;121.81;1;50.09;13.73;34.09
"09.06.2014";1.94;0.32;128.75;2;19.08;3.72;33.64;27.27;40.44;968.02;1.54;325.03;3.32;1.03;0.29;120.32;3;23.21;3.85;30.35;125.92;2;5.95;1.12;127.05;1;42.64;15.84;34.79
"10.06.2014";2.04;0.27;131.12;5;28.49;8.76;27.91;27.64;35.59;968.51;1.63;338.47;11.72;0.97;0.3;115.72;0;49.87;23.09;28.36;150.78;8;10.15;1.75;117.52;0;63.02;38.81;27.43
"11.06.2014";1.86;0.28;142.73;6;30.37;9.92;17.15;24.61;54.2;972.3;1.77;348.4;0;0.79;0.3;136.9;8;42.29;18.28;18.12;153.61;10;10.22;1.88;128.36;4;48.41;24.84;18.1
"12.06.2014";1.74;0.34;132.35;7;29.31;8.45;24.26;23.41;67.57;972.08;1.71;279.91;132.73;0.63;0.32;136.78;4;45.51;19.85;22.47;148.11;7;10.42;1.6;130.13;4;47.86;24.52;25.85
"13.06.2014";1.59;0.29;130.65;5;27.63;9.49;17.63;21.05;71.54;968.53;1.3;277.27;82.45;0.4;0.3;111.89;0;41.91;19.45;17.47;124.36;3;9.9;1.84;104.78;0;50.14;30.3;20.37
"14.06.2014";1.92;0.27;95.27;0;17.41;6.48;13.94;19.06;56.19;966.1;2.39;295.42;0;0.57;0.24;96.48;0;23.52;9.09;13.4;107.95;0;6.86;1.11;88.8;0;26.43;13.38;15.16
"15.06.2014";2.11;0.22;99.21;0;12.4;4.01;9.13;18.44;44.93;966.21;2.89;294.05;0;0.79;0.19;98.43;0;14.96;5.11;10.63;97.14;0;4.99;0.94;95.22;0;17.95;7.87;11.72
"16.06.2014";1.95;0.25;112.86;0;24.05;9.3;" NaN";18.83;44.76;966.24;2.29;340.76;0;0.91;0.24;112.79;0;31.81;18.39;11.27;113.09;0;7.51;1.36;105.84;0;37.9;28.58;14.58
"17.06.2014";1.43;0.25;100.22;0;22.64;8.94;13.75;18.74;48.18;965.9;2.56;311.06;0;0.86;0.23;101.31;0;28.46;14.44;15.06;107.98;0;7.66;1.23;99.02;0;33.36;22.43;17.48
"18.06.2014";1.52;0.26;111.04;0;26.77;9.42;15.5;19.19;52.17;966.55;2.05;328.3;53.57;0.9;0.26;114.02;0;36.58;17.17;16.81;121.98;3;9.25;1.57;116.26;0;41.44;25.7;17.51
"19.06.2014";1.56;0.25;124.39;2;24.78;6.36;16.55;20.2;51.52;967.11;1.22;271.37;0;1.09;0.33;108.24;0;50.49;25.27;18.03;118.36;0;11.19;1.77;94.8;0;61.42;35.28;20.27
"20.06.2014";1.63;0.25;94.68;0;23.06;6.77;15.5;19.72;51.34;966.4;1.69;282.29;0;1.02;0.29;88.01;0;41.87;23.62;15.84;100.69;0;11.64;1.86;79.93;0;47.4;25.5;17.63
"21.06.2014";1.76;0.25;105.09;0;16.13;4.32;11.97;19.92;43.85;966.51;1.8;354.41;0;1.2;0.27;105.54;0;30.88;12.69;14.77;105.19;0;8.12;1.36;93.19;0;33.91;13.79;13.58
"22.06.2014";1.74;0.26;126.4;6;13.21;2.16;14;21.52;43.58;967.91;1.57;324.61;0;1.25;0.25;122.21;2;24.09;6.43;13.77;119.16;0;8.06;1.14;102.24;0;37.38;12.54;16.67
"23.06.2014";1.63;0.28;119.77;0;31.68;8.93;17.26;20.02;63.99;968.08;1.59;234.64;280.87;0.98;0.26;115.8;0;41.98;16.77;16.57;126.43;2;11.72;1.69;99.57;0;50.82;26.12;18.35
"24.06.2014";1.18;0.27;98.44;0;29.18;10.63;10.42;18.02;73.82;965.53;1.93;233.09;485.5;0.43;0.26;101.49;0;42.33;21.88;9.85;103.23;0;8.67;1.35;95.76;0;44.17;31.08;12.22
"25.06.2014";1.42;0.26;95.92;0;27.15;13.02;14.36;18.48;64.94;961.51;1.47;239.21;30.87;0.77;0.31;92.71;0;41.01;27.73;17.31;100.11;0;10.62;2.21;91.58;0;39.27;25.12;17.88
"26.06.2014";1.76;0.26;129.71;3;28.75;8.29;14.71;18.75;48.59;963.51;1.46;315.85;0;1.24;0.29;123.4;2;43.15;23.56;16.45;118.03;0;11.25;1.96;93.96;0;53.99;29.53;17.13
"27.06.2014";1.7;0.29;134.46;8;31.39;7.62;18.96;21.27;47.35;965.79;1.1;322.56;0.42;1.17;0.31;116.71;0;47.42;17.53;19.8;126.45;3;13.75;1.59;106.97;0;68.06;36.45;22.3
"28.06.2014";1.51;0.3;115.37;0;18.67;3.84;16.05;20.86;62.34;963.02;1.48;187.37;121.87;0.87;0.25;110.44;0;29.76;8.02;15.51;109.93;0;8.44;1.29;95.03;0;45.02;24.36;18.57
"29.06.2014";1.16;0.22;96.91;0;11.29;3.51;5.82;15.48;85.57;962.01;1.86;64.08;890.5;0.43;0.19;100.06;0;16.28;5.22;5.17;85.45;0;5.08;1.16;85.5;0;35.26;22.37;10
"30.06.2014";1.36;0.23;78.35;0;18.97;7.71;7.13;15.26;67.99;966.91;1.34;209.41;137.15;0.75;0.23;76.51;0;30.81;17.36;7.46;74.56;0;9.42;2.03;64;0;54.27;51.66;12.96
"01.07.2014";1.68;0.29;95.86;0;30.42;16.98;10.79;17.88;56.5;966.87;1.68;338.73;70.25;1.02;0.32;93.48;0;42.89;32.41;14.06;103.12;0;8.02;2.4;100.99;0;42.55;32.09;13.55
"02.07.2014";1.44;0.34;65.87;0;41.34;17.73;12.95;16.07;82.27;970.5;1.18;68.04;636.23;0.63;0.3;64.89;0;47.02;21.1;12.23;78.03;0;14.09;1.76;53.01;0;58.2;41.05;14.91
"03.07.2014";1.8;0.34;96.65;0;37.48;18.6;15.01;19.47;63.89;973.4;1.14;348.94;0;1.14;0.36;106.32;0;45.89;30.54;14.59;107.94;0;11.95;4.47;85.14;0;57.6;42.48;15.59
"04.07.2014";1.68;0.37;101;0;41.47;15.8;19.79;20.8;66.64;963.25;1.9;171.34;135.42;1.14;0.43;103.82;0;58.75;35.35;21.84;93.7;0;14.8;2.31;98.32;0;57.54;25.13;22.68
"05.07.2014";1.26;0.26;85.97;0;15.05;3.91;9.5;19.42;75.98;963.71;1.85;155.01;154.77;0.6;0.24;98.73;0;23.86;6.22;10.9;82.84;0;6.77;1.31;70.13;0;47.12;27.26;14.48
"06.07.2014";1.44;0.32;100.09;0;18.4;6.65;13.91;22.31;66.26;962.48;1.57;329.93;114.97;0.81;0.28;105.87;0;25.16;8.76;12.98;95.03;0;6.31;1.47;95;0;31.25;14.63;15.04
"07.07.2014";1.29;0.26;90.19;0;27.6;11.73;9.51;19.72;76.28;964.54;1.64;180.84;339.4;0.62;0.25;87.23;0;37.54;17.03;10.03;91.83;0;8.6;1.94;87.68;0;48.24;33.03;13.37
"08.07.2014";1.27;0.2;73.85;0;13.9;4.62;8.37;15.32;82.13;962.5;2.86;89.45;590.55;0.58;0.19;68.92;0;19.66;12.76;5.71;64.67;0;9.58;1.76;59.69;0;41.43;33.71;12.83
"09.07.2014";1.32;0.21;66.15;0;15.28;4.19;9.61;13.23;80.74;962.22;2.53;72.34;519.5;0.84;0.21;68.55;0;21.21;12.46;7.59;56.93;0;10.57;1.82;53.45;0;46.27;43.42;15.7
"10.07.2014";1.3;0.22;67.8;0;17.58;5.97;4.59;12.72;84.6;961.38;1.98;35.54;647.88;0.76;0.23;68.34;0;25.85;16.14;5.46;56.34;0;13.77;2.37;49.67;0;55.18;67.89;13.42
"11.07.2014";1.32;0.29;56.61;0;24.73;10.98;8.99;16.1;87.96;963.66;1.69;83.32;398.71;0.67;0.31;65.2;0;35.58;29.58;8.62;56.34;0;14.08;2.86;32.08;0;46.8;48.27;15.56
"12.07.2014";1.45;0.31;86.7;0;20.34;6.19;7.73;17.56;82.63;963.79;1.07;173.35;256.9;0.71;0.29;87.51;0;36.6;16.28;9.51;85.5;0;8.43;1.42;70.66;0;40.27;26.76;12.55
"13.07.2014";1.37;0.27;76.12;0;13.55;4.11;7.38;17.69;82.26;963.18;1.21;186.31;264.43;0.62;0.21;78.07;0;18.34;3.84;7.86;72.82;0;5.81;1.24;67.89;0;36.19;19.91;12.11
"14.07.2014";1.39;0.21;64.08;0;12.94;4.94;9.09;19.47;69.45;965.74;1.94;245.18;14.53;0.76;0.23;61.31;0;25.2;17.99;8.2;68.7;0;7.34;2.01;44.84;0;41.85;43.6;13.24
"15.07.2014";1.7;0.28;94.55;0;25.35;12;12.7;20.45;60.7;970.86;1.04;223.84;0;1.06;0.33;88.28;0;43.93;26.64;14.97;101.89;0;10.56;2.99;74.74;0;49.56;35.14;18.25
"16.07.2014";1.98;0.34;111.97;0;38.01;14.46;16.36;21.97;56.88;971.16;0.81;336.67;0;1.33;0.36;107.72;0;55.82;29.18;19.41;130.87;6;12.77;3.22;99.21;0;58.4;28.49;21.92
"17.07.2014";1.75;0.34;123.43;3;34.94;12.43;19.15;23.89;55.2;970.77;1.25;321.33;0;1.19;0.35;120.45;1;53.59;20.68;19.53;138.24;12;10.09;1.91;126.53;1;60.42;31.47;24.99
"18.07.2014";1.91;0.32;101.36;0;35.94;14.05;17.57;24.63;46.78;968.46;1.22;339.89;0;1.14;0.34;103.97;0;50.23;18.69;17.66;119.08;0;7.3;1.56;99.88;0;58.82;30.02;29.66
"19.07.2014";1.99;0.38;175.06;5;30.54;6.13;22.23;25.79;47.77;963.82;1.15;309.96;0;1.5;0.37;177.15;6;43.08;9.87;22.74;177.82;9;6.78;1.14;155.03;4;59.15;17.88;26.85
"20.07.2014";1.7;0.29;105.15;0;14.62;2.3;18.9;22.83;63.17;962.23;1.66;151.85;162.6;0.97;0.28;106.43;0;27.58;6.3;20.07;103.93;0;7.41;1.16;92.19;0;37.09;11.83;21.51
"21.07.2014";1.42;0.2;87.77;0;12.14;2.63;4.87;17.91;78.83;963.77;1.77;122.44;435.95;0.79;0.2;92.09;0;22.33;8.44;6.48;84.63;0;9.27;1.71;63.99;0;51.59;33.21;13.55
"22.07.2014";1.37;0.29;60.73;0;29.79;8.84;3.67;17.84;93.3;964.14;1.06;33.31;1048.5;0.35;0.35;62.84;0;48.38;30.68;7.3;63.9;0;15.96;1.86;48.91;0;48.56;30.13;10.79
"23.07.2014";1.52;0.29;114.46;0;24.39;10.12;19.2;21.29;72.92;963.67;2.18;262.12;0;0.74;0.3;115.68;0;34.99;20.47;21.57;124.89;2;9.5;1.53;114.95;0;36.07;17.34;20.26
"24.07.2014";1.75;0.31;95.98;0;36.7;11.39;19.42;21.08;58.98;962.2;1.38;241.72;0;1.31;0.33;105.08;0;49.77;24.7;22.03;116.44;0;10.81;1.47;98.47;0;47.19;19.61;20.61
"25.07.2014";1.13;0.29;124.77;3;29.03;8.59;20.07;22.36;56.46;962.97;1.14;304.22;0;0.95;0.29;118.77;0;40.82;14.55;18.85;130.81;7;9.82;1.47;104.79;0;56.84;36.45;24.32
"26.07.2014";0.85;0.25;104.64;0;13.8;2.43;10.92;18.32;81.04;964.46;1.59;65.11;675.47;0.6;0.24;104;0;31.39;10.93;11.24;106.89;0;8.13;1.2;88.42;0;38.54;14.47;13.9
"27.07.2014";0.87;0.26;97.36;0;12.34;2.63;9.1;18.16;83.34;966.95;1.99;88.58;197.8;0.62;0.2;96.92;0;18.96;3.7;9.17;89.85;0;5.47;1.11;69.39;0;44.2;23.64;12.21
"28.07.2014";0.97;0.27;110.81;0;21.19;8.59;13.1;19.64;76.48;962.23;1.32;211.91;290;0.65;0.29;104.95;0;41.72;23.14;14.09;125.71;2;9.24;2.35;98.08;0;39.96;28.84;15.34
"29.07.2014";0.91;0.23;78.94;0;18.77;4.58;4.1;17.41;80.63;959.94;1.05;128.91;447.82;0.62;0.31;71.04;0;39.67;27.64;7.28;78.12;0;12.65;1.78;55.13;0;44.8;27.71;9.42
"30.07.2014";0.88;0.27;58.88;0;20.89;7.01;7.32;17.54;86.66;961.82;1.42;49.02;502.8;0.59;0.29;53.04;0;31.33;17.43;6.52;67.46;0;12;1.99;41.79;0;45.54;51.34;12.47
"31.07.2014";1.04;0.3;101.72;0;25.79;10.57;32.36;20.61;72.18;964.65;1.53;248.24;0.35;0.79;0.34;99.45;0;43.04;25.18;20.95;111.96;0;8.64;1.74;102.02;0;32.9;20.34;20.04
"01.08.2014";1.55;0.29;97.04;0;18.62;5.11;34.12;20.54;72.26;961.37;1.53;260.92;0;1.63;0.3;103.38;0;26.23;7.58;33.11;100.13;0;8.11;1.58;97.06;0;23.92;7.17;34.97
"02.08.2014";1.45;0.35;104.11;0;20.87;5.62;42.85;21.12;73.12;960.08;1.64;200.81;161.9;1.2;0.3;106.81;0;22;5.55;35.35;106.47;0;7.18;1.24;90.96;0;41;26.88;48.45
"03.08.2014";1.02;0.22;93.35;0;10.98;2.67;12.46;18.91;81.95;963.41;1.53;148.02;240.9;0.65;0.21;91.55;0;18.14;4.7;7.87;95.48;0;4.81;1.21;78.3;0;29.53;14.45;9.87
"04.08.2014";1.04;0.26;94.32;0;20.26;11.23;14.04;19.73;73.94;966.72;1.28;251.65;52.3;0.81;0.28;87.59;0;32.36;22.11;10.37;99.5;0;8.51;2.87;79.13;0;38.4;32.9;11.85
"05.08.2014";1.15;0.24;96.39;0;16.81;5.16;12.23;20.53;61.48;969.01;1.35;269.68;0;0.84;0.26;89.43;0;32.62;16.44;9.57;99.09;0;7.33;1.49;78.2;0;38.47;21.11;11.89
"06.08.2014";1.43;0.31;109.9;0;26.9;10.38;18.96;20.08;60.45;967.28;1.16;235.11;2.18;1.22;0.34;99.74;0;43.33;25.06;18.43;108.34;0;9.57;1.88;83.71;0;43.32;19.75;15.15
"07.08.2014";1.36;0.31;81.97;0;26.85;7.99;23.05;20.96;64.62;965.87;1.03;182.06;28.29;1.1;0.3;76.6;0;37.9;15.35;17.81;90.98;0;11.31;1.7;64.27;0;49.77;28.8;19.63
"08.08.2014";1.12;0.32;88.87;0;26.25;9.3;15.12;22.37;66.92;963.71;1.18;275.17;88.1;0.98;0.3;95.48;0;31.96;14.92;11.3;99.67;0;10.33;2.58;74.9;0;44.32;32.25;16.48
"09.08.2014";1.01;0.24;81.56;0;10.8;3.23;9.04;22.06;67.34;964.08;1.9;186.02;129.02;0.76;0.21;91.34;0;18.4;6.86;7.75;88.6;0;4.86;1.16;73.98;0;27.48;11.14;10.1
"10.08.2014";0.92;0.28;" NaN";" NaN";13.17;3.68;12.14;22;79.33;961.81;1.51;185.51;270.73;0.73;0.26;86.98;0;22.99;6.95;12.52;95.81;0;6.36;1.53;84.83;0;28.53;15.32;13.06
"11.08.2014";1.05;0.27;" NaN";" NaN";21.46;10.39;8.99;17.78;79.37;966.04;1.37;61.94;369.33;0.71;0.27;83.08;0;34.17;30.01;11.23;77.24;0;8.77;1.64;" NaN";" NaN";38.56;32.36;13.37
"12.08.2014";1.27;0.26;82.29;0;21.79;10.02;12.42;18.93;58.58;965.12;1;234.96;0;1.1;0.3;78.63;0;32.24;22.06;13.18;87.65;0;8.78;2.1;" NaN";" NaN";47.8;42.16;15.57
"13.08.2014";1.19;0.27;89.02;0;24.09;12.66;12.15;16.42;73.9;959.17;2.85;86.75;356.18;0.95;0.28;89.71;0;29.59;24.87;11.49;88.55;0;12.91;3.32;" NaN";" NaN";37.27;32.74;" NaN"
